,epoch,classification,bbox_regression
0,0,0.30692821741104126,0.10639747977256775
1,1,0.3100467622280121,0.07383136451244354
2,2,0.3963138163089752,0.16345208883285522
3,3,0.22048674523830414,0.09557320177555084
4,4,0.16654139757156372,0.049943335354328156
5,5,0.023612312972545624,0.0
6,6,0.22749203443527222,0.03833138197660446
7,7,0.30766791105270386,0.10086216032505035
8,8,0.21479903161525726,0.058909714221954346
9,9,0.06543512642383575,0.020255789160728455
10,10,0.18542727828025818,0.04154405742883682
11,11,0.11848004162311554,0.042103201150894165
12,12,0.2484855353832245,0.11054867506027222
13,13,0.5684517025947571,0.21242257952690125
14,14,0.3860526382923126,0.1363949030637741
15,15,0.2909699082374573,0.1307256817817688
16,16,0.4358968436717987,0.16123253107070923
17,17,0.28280574083328247,0.10293284058570862
18,18,0.2119860053062439,0.10051795840263367
19,19,0.15556761622428894,0.028425728902220726
20,20,0.3357328176498413,0.14726190268993378
21,21,0.27512598037719727,0.10805833339691162
22,22,0.36239108443260193,0.18043377995491028
23,23,0.047726232558488846,0.0
24,24,0.22913137078285217,0.11803597211837769
25,25,0.051373884081840515,0.036962077021598816
26,26,0.22762861847877502,0.11791951954364777
27,27,0.1793711632490158,0.08221618831157684
28,28,0.2919078767299652,0.12892770767211914
29,29,0.11163102090358734,0.04179200530052185
