,epoch,loss_classifier,loss_box_reg,loss_objectness,loss_rpn_box_reg
0,0,0.035427309572696686,0.01312372274696827,0.03238344192504883,0.003984776325523853
1,1,0.03156684711575508,0.020337361842393875,0.03223833441734314,0.01745055429637432
2,2,0.023623088374733925,0.01608516275882721,0.04370591789484024,0.012590531259775162
3,3,0.02263691835105419,0.013915234245359898,0.02396279014647007,0.0024739746004343033
4,4,0.023195093497633934,0.009466230869293213,0.06067964434623718,0.010349931195378304
5,5,0.003574857022613287,0.0,0.008729529567062855,0.0
6,6,0.014201085083186626,0.0071092708967626095,0.019781608134508133,0.0015885995235294104
7,7,0.034718189388513565,0.01567661575973034,0.02875039353966713,0.006633478682488203
8,8,0.015075065195560455,0.008164498955011368,0.019129425287246704,0.00400900561362505
9,9,0.0048599690198898315,0.002899549435824156,0.011043558828532696,0.0001854990841820836
10,10,0.017467575147747993,0.005491303745657206,0.026826199144124985,0.0023971800692379475
11,11,0.03007996268570423,0.015253257006406784,0.01597505807876587,0.0066425614058971405
12,12,0.024637386202812195,0.014395825564861298,0.028982626274228096,0.011672870256006718
13,13,0.05344869941473007,0.041152313351631165,0.0638781189918518,0.012338792905211449
14,14,0.04241802170872688,0.03046467900276184,0.046464189887046814,0.011994745582342148
15,15,0.03434107452630997,0.032616306096315384,0.015915626659989357,0.010114258155226707
16,16,0.06866537779569626,0.04832687973976135,0.10014849901199341,0.08804894983768463
17,17,0.028604580089449883,0.02539917640388012,0.02828582003712654,0.0029084791895002127
18,18,0.034387074410915375,0.032183848321437836,0.03425200283527374,0.008787473663687706
19,19,0.013512874022126198,0.006580387707799673,0.012676688842475414,0.001171585638076067
20,20,0.06709109991788864,0.047178126871585846,0.05196286365389824,0.03623665124177933
21,21,0.04767906665802002,0.03864696994423866,0.06334374845027924,0.019895385950803757
22,22,0.06742936372756958,0.05221661180257797,0.08427247405052185,0.12215311825275421
23,23,0.006000468507409096,0.0,0.006985696963965893,0.0
24,24,0.03493170440196991,0.03155750036239624,0.053328122943639755,0.06043519824743271
25,25,0.012410404160618782,0.017919054254889488,0.020617902278900146,0.007180646061897278
26,26,0.02812846004962921,0.026766424998641014,0.026805177330970764,0.010860918089747429
27,27,0.025767236948013306,0.02061837539076805,0.025421753525733948,0.0025430917739868164
28,28,0.06334681063890457,0.053122639656066895,0.1042795479297638,0.04487079381942749
29,29,0.0066546546295285225,0.004154806956648827,0.013821340166032314,0.0005147120100446045
