,epoch,map,map_50,map_75,map_small,map_medium,map_large,mar_1,mar_10,mar_100,mar_small,mar_medium,mar_large,classes,0_map,1_map,2_map,3_map,4_map,5_map,6_map,7_map,8_map,9_map,10_map,11_map,12_map,13_map,0_mar,1_mar,2_mar,3_mar,4_mar,5_mar,6_mar,7_mar,8_mar,9_mar,10_mar,11_mar,12_mar,13_mar
0,0,0.1204567402601242,-1.0,-1.0,0.0431743822991848,0.14268268644809723,0.11934243142604828,0.18695132434368134,0.2363637089729309,0.2424871027469635,0.09569353610277176,0.24700964987277985,0.2330903559923172,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],,0.0,0.0,0.6054070591926575,0.0,0.0675971657037735,0.0,0.05814484879374504,0.009178798645734787,0.0,0.2852051854133606,0.03764468431472778,0.0,0.031319424510002136,,0.0,0.0,0.9159891605377197,0.0,0.2211538404226303,0.0,0.274678111076355,0.17910447716712952,0.0,0.6153846383094788,0.18107667565345764,0.0,0.09566786885261536
1,1,0.1595715582370758,-1.0,-1.0,0.1052401140332222,0.1719529926776886,0.19096150994300842,0.2293981909751892,0.3289491534233093,0.33516085147857666,0.20916230976581573,0.3276600241661072,0.3894553780555725,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],,0.0,0.0,0.7322781085968018,0.03319188952445984,0.16716943681240082,0.04336012154817581,0.09459155052900314,0.029245944693684578,0.009900989942252636,0.35950589179992676,0.05568915978074074,0.0,0.06343962252140045,,0.0,0.0,0.9701896905899048,0.10000000149011612,0.5192307829856873,0.14150942862033844,0.3605150282382965,0.1977611929178238,0.008196720853447914,0.8224852085113525,0.4779771566390991,0.0,0.17870035767555237
2,2,0.16786594688892365,-1.0,-1.0,0.06559982150793076,0.18619002401828766,0.18481221795082092,0.24803029000759125,0.36368751525878906,0.3721402883529663,0.19184496998786926,0.3673171401023865,0.47350218892097473,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],,0.0,0.01080107968300581,0.7348511815071106,0.09492207318544388,0.1405005007982254,0.048753127455711365,0.10128328204154968,0.04282227158546448,0.013367821462452412,0.34420067071914673,0.06190519407391548,0.0,0.08710423111915588,,0.0,0.037974681705236435,0.9512194991111755,0.25,0.36538460850715637,0.25471699237823486,0.4849785268306732,0.18283581733703613,0.06147541105747223,0.7928994297981262,0.5579119324684143,0.0,0.3411552309989929
3,3,0.17553864419460297,-1.0,-1.0,0.1050766333937645,0.1847454458475113,0.20956362783908844,0.24840104579925537,0.3597451150417328,0.3629533648490906,0.2001391053199768,0.35618463158607483,0.46588781476020813,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],,0.0,0.017718952149152756,0.7544506788253784,0.060982074588537216,0.18031378090381622,0.05422903969883919,0.12075475603342056,0.03138761967420578,0.016077322885394096,0.3443109691143036,0.07781724631786346,0.0,0.11268095672130585,,0.0,0.10126582533121109,0.9295393228530884,0.30000001192092896,0.5288461446762085,0.2358490526676178,0.3605150282382965,0.1753731369972229,0.03688524663448334,0.6627218723297119,0.4469820559024811,0.0,0.3700360953807831
4,4,0.1813821792602539,-1.0,-1.0,0.10679347813129425,0.19065940380096436,0.22366639971733093,0.2659866511821747,0.4021768271923065,0.40639954805374146,0.23930805921554565,0.3954276740550995,0.4788181483745575,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],,0.0,0.023565255105495453,0.7614631056785583,0.03837282583117485,0.18700745701789856,0.069839708507061,0.1266457587480545,0.06003852188587189,0.04157981649041176,0.3511570692062378,0.09078744798898697,0.0,0.09233961254358292,,0.0,0.16455696523189545,0.9593495726585388,0.375,0.7692307829856873,0.24528302252292633,0.3862660825252533,0.21268656849861145,0.08606557548046112,0.8047337532043457,0.48123979568481445,0.0,0.2581227421760559
5,5,0.18380363285541534,-1.0,-1.0,0.09470002353191376,0.19220444560050964,0.23860634863376617,0.2690986096858978,0.38088855147361755,0.38498687744140625,0.19592256844043732,0.3865590989589691,0.4858761727809906,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],,0.02337733842432499,0.019824041053652763,0.7697136402130127,0.08050805330276489,0.13238173723220825,0.06814981251955032,0.1299208402633667,0.06557279080152512,0.04469474032521248,0.34846577048301697,0.06834293901920319,0.011315417475998402,0.10824760794639587,,0.095238097012043,0.07594936341047287,0.9674796462059021,0.4000000059604645,0.375,0.25471699237823486,0.45922747254371643,0.23134328424930573,0.13934426009655,0.7396449446678162,0.3181076645851135,0.07692307978868484,0.3411552309989929
6,6,0.1938966065645218,-1.0,-1.0,0.07712944597005844,0.2034740000963211,0.2555716931819916,0.2869386672973633,0.42281395196914673,0.43028348684310913,0.20556588470935822,0.4193683862686157,0.5077447295188904,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],,0.042285479605197906,0.023975903168320656,0.778182864189148,0.08830630034208298,0.1865074634552002,0.06990660727024078,0.13183879852294922,0.073505699634552,0.05433710664510727,0.3603193461894989,0.08314229547977448,0.006092917174100876,0.11862046271562576,,0.1428571492433548,0.18987341225147247,0.9620596170425415,0.42500001192092896,0.5961538553237915,0.2641509473323822,0.3862660825252533,0.31716418266296387,0.13114753365516663,0.7810651063919067,0.46166396141052246,0.07692307978868484,0.3700360953807831
7,7,0.20227567851543427,-1.0,-1.0,0.08211112767457962,0.21089988946914673,0.2649163603782654,0.31295159459114075,0.47527602314949036,0.4836658537387848,0.22105486690998077,0.45116400718688965,0.6411396265029907,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],,0.024247322231531143,0.025698384270071983,0.7841493487358093,0.09530821442604065,0.18140198290348053,0.1033690795302391,0.14203713834285736,0.06697524338960648,0.06874917447566986,0.36502805352211,0.10456374287605286,0.044173646718263626,0.13207639753818512,,0.2380952388048172,0.16455696523189545,0.9674796462059021,0.42500001192092896,0.7596153616905212,0.35849055647850037,0.42918455600738525,0.22014924883842468,0.23360656201839447,0.8284023404121399,0.5513865947723389,0.23076923191547394,0.4332129955291748
8,8,0.19550058245658875,-1.0,-1.0,0.10140004754066467,0.21218498051166534,0.2272462546825409,0.28819960355758667,0.42383942008018494,0.43024784326553345,0.260389119386673,0.40003952383995056,0.5267836451530457,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],,0.004500450100749731,0.029389968141913414,0.7868049144744873,0.05433635786175728,0.16751763224601746,0.09369661659002304,0.13404004275798798,0.08035119622945786,0.05420098081231117,0.3395245373249054,0.12718592584133148,0.011315417475998402,0.14069755375385284,,0.0476190485060215,0.18987341225147247,0.9620596170425415,0.22499999403953552,0.567307710647583,0.35849055647850037,0.3905579447746277,0.29104477167129517,0.1844262331724167,0.8106508851051331,0.5432299971580505,0.07692307978868484,0.45667868852615356
9,9,0.2039508819580078,-1.0,-1.0,0.1033930853009224,0.21937623620033264,0.25914904475212097,0.28483834862709045,0.40939199924468994,0.41176411509513855,0.20734229683876038,0.4144004285335541,0.49674057960510254,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],,0.05515257269144058,0.03474796190857887,0.7807129621505737,0.09143363684415817,0.18399758636951447,0.07091772556304932,0.14031565189361572,0.08003417402505875,0.0634504109621048,0.38343939185142517,0.1023186594247818,0.008800880052149296,0.15311075747013092,,0.190476194024086,0.2151898741722107,0.9376693964004517,0.2750000059604645,0.5961538553237915,0.27358490228652954,0.44206008315086365,0.2276119440793991,0.14754098653793335,0.7573964595794678,0.37357258796691895,0.07692307978868484,0.35740071535110474
10,10,0.21146395802497864,-1.0,-1.0,0.12446724623441696,0.22897961735725403,0.2511887848377228,0.3134723901748657,0.49235647916793823,0.49779224395751953,0.25157302618026733,0.4653625190258026,0.684983491897583,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],,0.050514042377471924,0.031131533905863762,0.7982218265533447,0.08491942286491394,0.17857566475868225,0.059241801500320435,0.16293087601661682,0.08744649589061737,0.075177863240242,0.36177492141723633,0.11920566111803055,0.06621705740690231,0.15393632650375366,,0.2857142984867096,0.2151898741722107,0.9674796462059021,0.4000000059604645,0.7788461446762085,0.30188679695129395,0.5236051678657532,0.3208955228328705,0.21721310913562775,0.7455621361732483,0.5187602043151855,0.3076923191547394,0.454873651266098
11,11,0.21089573204517365,-1.0,-1.0,0.11663338541984558,0.20139770209789276,0.26387980580329895,0.29774558544158936,0.4398214817047119,0.44921305775642395,0.2584013342857361,0.39736858010292053,0.5951212048530579,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],,0.034272659569978714,0.00859924964606762,0.7878706455230713,0.07828784734010696,0.2247677743434906,0.11057288199663162,0.1543091982603073,0.07681753486394882,0.0858001634478569,0.35319796204566956,0.1280810534954071,0.05389080196619034,0.12543897330760956,,0.1428571492433548,0.06329113990068436,0.934959352016449,0.32499998807907104,0.5480769276618958,0.3396226465702057,0.45064377784729004,0.29104477167129517,0.21311475336551666,0.8047337532043457,0.6133768558502197,0.3076923191547394,0.3447653353214264
12,12,0.21486307680606842,-1.0,-1.0,0.088749960064888,0.23147554695606232,0.24777977168560028,0.31427201628685,0.49174535274505615,0.4987538158893585,0.24152003228664398,0.46660977602005005,0.6284662485122681,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],,0.04565456509590149,0.04602956771850586,0.7993225455284119,0.09793069958686829,0.18460823595523834,0.13188348710536957,0.12201743572950363,0.07907354086637497,0.07516340166330338,0.40493452548980713,0.12665201723575592,0.03930356726050377,0.13893568515777588,,0.190476194024086,0.3164556920528412,0.9457994699478149,0.3499999940395355,0.6442307829856873,0.349056601524353,0.45922747254371643,0.2947761118412018,0.23360656201839447,0.7928994297981262,0.5628058910369873,0.38461539149284363,0.5252707600593567
13,13,0.2218017280101776,-1.0,-1.0,0.1241079717874527,0.22367246448993683,0.2842889130115509,0.3225419819355011,0.4934268593788147,0.5007269978523254,0.28215163946151733,0.4610036313533783,0.6422774195671082,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],,0.03630363196134567,0.03243983909487724,0.8075233101844788,0.11376309394836426,0.18895213305950165,0.0781843364238739,0.14935468137264252,0.07766182720661163,0.08526849001646042,0.3844379484653473,0.12562502920627594,0.13042333722114563,0.1602647304534912,,0.190476194024086,0.3670886158943176,0.9539295434951782,0.4749999940395355,0.5384615659713745,0.3113207519054413,0.44635194540023804,0.31716418266296387,0.25819671154022217,0.7633135914802551,0.574225127696991,0.38461539149284363,0.49277979135513306
14,14,0.22205209732055664,-1.0,-1.0,0.11873329430818558,0.23185759782791138,0.2926976680755615,0.3304769694805145,0.5037676095962524,0.5108498334884644,0.29133617877960205,0.45793959498405457,0.6473550796508789,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],,0.0694059431552887,0.034615445882081985,0.8093072772026062,0.12892836332321167,0.2176297903060913,0.09514760971069336,0.14341379702091217,0.0907343327999115,0.08960781991481781,0.37642642855644226,0.13361762464046478,0.036959435790777206,0.1505638211965561,,0.2857142984867096,0.29113924503326416,0.9512194991111755,0.44999998807907104,0.6442307829856873,0.35849055647850037,0.46351930499076843,0.30970150232315063,0.25,0.834319531917572,0.5122349262237549,0.38461539149284363,0.5108303427696228
15,15,0.2240278720855713,-1.0,-1.0,0.11397670209407806,0.23114879429340363,0.2687668800354004,0.3176653981208801,0.498647540807724,0.5055930018424988,0.29360276460647583,0.4709494709968567,0.6401800513267517,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],,0.0682452991604805,0.0478394515812397,0.8133862614631653,0.16122658550739288,0.22518914937973022,0.07260383665561676,0.15572480857372284,0.0834718644618988,0.0775453969836235,0.3725551664829254,0.1249164566397667,0.03517274931073189,0.1655845046043396,,0.2857142984867096,0.3417721390724182,0.9457994699478149,0.4000000059604645,0.7115384340286255,0.30188679695129395,0.4806866943836212,0.302238792181015,0.2991803288459778,0.7573964595794678,0.6101142168045044,0.23076923191547394,0.4837545156478882
