,epoch,map,map_50,map_75,map_small,map_medium,map_large,mar_1,mar_10,mar_100,mar_small,mar_medium,mar_large,classes,0_map,1_map,2_map,3_map,4_map,5_map,6_map,7_map,8_map,9_map,10_map,11_map,12_map,13_map,0_mar,1_mar,2_mar,3_mar,4_mar,5_mar,6_mar,7_mar,8_mar,9_mar,10_mar,11_mar,12_mar,13_mar
0,0,0.03790581226348877,-1.0,-1.0,0.021827181801199913,0.050614457577466965,0.0486258864402771,0.10787680745124817,0.1550799161195755,0.15707708895206451,0.023639988154172897,0.1511848419904709,0.28327906131744385,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],,0.0,0.0,0.227260559797287,0.017278267070651054,0.0008477153605781496,0.009971711784601212,0.020590532571077347,0.01250913180410862,0.0,0.09720535576343536,0.0003193867742083967,0.0,0.003025677753612399,,0.0,0.0,0.5880758762359619,0.2750000059604645,0.057692307978868484,0.16981132328510284,0.22746780514717102,0.05970149114727974,0.0,0.39053255319595337,0.006525285542011261,0.0,0.059566788375377655
1,1,0.060525618493556976,-1.0,-1.0,0.018901890143752098,0.07518737763166428,0.06356167793273926,0.1405799835920334,0.18290975689888,0.18290975689888,0.0181818176060915,0.15828944742679596,0.3338468074798584,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],,0.0,0.0,0.3374044597148895,0.018951894715428352,0.00252707302570343,0.01927538588643074,0.023000720888376236,0.011559885926544666,0.00023724275524728,0.09815296530723572,0.0005824111867696047,0.0,0.01091565191745758,,0.0,0.0,0.8048780560493469,0.32499998807907104,0.07692307978868484,0.17924527823925018,0.20171673595905304,0.02238805964589119,0.012295082211494446,0.33136093616485596,0.0032626427710056305,0.0,0.09386281669139862
2,2,0.06981561332941055,-1.0,-1.0,0.02271227166056633,0.0720645859837532,0.07222860306501389,0.10564639419317245,0.13203823566436768,0.13488072156906128,0.02437623217701912,0.12450999766588211,0.17767825722694397,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],,0.0,0.0,0.44762352108955383,0.005657708737999201,0.0,0.0,0.010628312826156616,0.0,0.00016640318790450692,0.15128450095653534,0.004172831308096647,0.0,0.004950494971126318,,0.0,0.0,0.6693766713142395,0.05000000074505806,0.0,0.0,0.10729613900184631,0.0,0.008196720853447914,0.5088757276535034,0.0375203900039196,0.0,0.009025271050632
3,3,0.09399929642677307,-1.0,-1.0,0.04431068152189255,0.115353524684906,0.10800747573375702,0.1805889755487442,0.24860768020153046,0.25390198826789856,0.046450961381196976,0.24177861213684082,0.43380042910575867,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],,0.0,0.0,0.5094437599182129,0.027893930673599243,0.03702942654490471,0.031422797590494156,0.02576392889022827,0.012745627202093601,0.00022685492876917124,0.19770318269729614,0.004636561032384634,0.0,0.013666681945323944,,0.0,0.0,0.8265582919120789,0.30000001192092896,0.3173076808452606,0.2075471729040146,0.30901288986206055,0.06343283504247665,0.02049180306494236,0.5562130212783813,0.05220228433609009,0.0,0.09205776453018188
4,4,0.07155246287584305,-1.0,-1.0,0.04631597921252251,0.07676637917757034,0.0760449469089508,0.12750370800495148,0.17280961573123932,0.17407800257205963,0.05153771489858627,0.16377480328083038,0.3340131640434265,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],,0.0008390669827349484,0.0,0.17008350789546967,0.03321757912635803,0.017897650599479675,0.04475285857915878,0.026234913617372513,0.011478353291749954,0.0,0.18280629813671112,0.00313980202190578,0.0,0.0170583613216877,,0.0476190485060215,0.0,0.17615176737308502,0.2750000059604645,0.11538461595773697,0.25471699237823486,0.2618025839328766,0.026119403541088104,0.0,0.4970414340496063,0.05220228433609009,0.0,0.11732851713895798
5,5,0.07512959092855453,-1.0,-1.0,0.027134226635098457,0.07914435863494873,0.09100697934627533,0.1253412961959839,0.18221932649612427,0.188285231590271,0.030062397941946983,0.1817827969789505,0.38722261786460876,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],,0.0014851485611870885,0.0,0.3170793950557709,0.03747803345322609,0.014661891385912895,0.024446826428174973,0.0335625559091568,0.02034444734454155,0.00017947414016816765,0.20375622808933258,0.002476050052791834,0.0,0.02209080010652542,,0.1428571492433548,0.0,0.3766937553882599,0.22499999403953552,0.07692307978868484,0.19811320304870605,0.30901288986206055,0.048507463186979294,0.016393441706895828,0.6094674468040466,0.04078303277492523,0.0,0.13537906110286713
6,6,0.10729315876960754,-1.0,-1.0,0.09805001318454742,0.12259453535079956,0.1201268658041954,0.1896108090877533,0.25297701358795166,0.2585282623767853,0.10236798226833344,0.24826472997665405,0.42702779173851013,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],,0.0,0.0,0.5483610033988953,0.05062592774629593,0.026945935562253,0.03293270990252495,0.03097119741141796,0.01806209608912468,0.0003992176498286426,0.22758358716964722,0.00450659915804863,0.0,0.03769943118095398,,0.0,0.0,0.859078586101532,0.30000001192092896,0.29807692766189575,0.2641509473323822,0.28326180577278137,0.07089552283287048,0.02459016442298889,0.5739644765853882,0.04078303277492523,0.0,0.19675090909004211
7,7,0.08435945957899094,-1.0,-1.0,0.08155862241983414,0.09623420983552933,0.09916984289884567,0.18177862465381622,0.2840197682380676,0.29320502281188965,0.10644443333148956,0.25553184747695923,0.5753985643386841,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],,0.0034418997820466757,0.0002750275016296655,0.37680503726005554,0.057185836136341095,0.05245772749185562,0.033805444836616516,0.02896753139793873,0.026657193899154663,0.0004035729798488319,0.1840679943561554,0.011286279186606407,0.0038954715710133314,0.025152280926704407,,0.2380952388048172,0.012658228166401386,0.47154471278190613,0.5,0.3365384638309479,0.2924528419971466,0.4034334719181061,0.0746268630027771,0.02459016442298889,0.6804733872413635,0.12398042529821396,0.23076923191547394,0.15884476900100708
8,8,0.11751330643892288,-1.0,-1.0,0.10713452845811844,0.1410757601261139,0.12887194752693176,0.1961755007505417,0.2612529993057251,0.2678695321083069,0.13019442558288574,0.2665729820728302,0.4405001997947693,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],,0.0006781499832868576,0.0,0.5584526658058167,0.07311350107192993,0.042592741549015045,0.03608051687479019,0.04469418525695801,0.02770977094769478,0.00042852433398365974,0.23746302723884583,0.014880816452205181,0.0,0.029099993407726288,,0.0476190485060215,0.0,0.7859078645706177,0.2750000059604645,0.21153846383094788,0.25471699237823486,0.3690987229347229,0.05597015097737312,0.032786883413791656,0.692307710647583,0.1174551397562027,0.0,0.13718411326408386
9,9,0.09655218571424484,-1.0,-1.0,0.034199852496385574,0.10613038390874863,0.13095270097255707,0.15911461412906647,0.22885364294052124,0.2352706640958786,0.05281754210591316,0.23899848759174347,0.4027869999408722,[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],,0.006212010979652405,0.002200220013037324,0.4469478726387024,0.058500293642282486,0.04309597238898277,0.037511810660362244,0.04505722224712372,0.025062352418899536,9.429514466319233e-05,0.24194474518299103,0.017640382051467896,0.0,0.06214871630072594,,0.095238097012043,0.012658228166401386,0.4878048896789551,0.25,0.2788461446762085,0.27358490228652954,0.270386278629303,0.0746268630027771,0.004098360426723957,0.6982248425483704,0.12234910577535629,0.0,0.2671480178833008
